marker-color,marker-size,marker-symbol,name,lon,lat
#7e7e7e,medium,,Casablanca,-7.62451171875,33.5963189611327
#7e7e7e,medium,,Rabat,-6.8115234375,34.05265942137599
#7e7e7e,medium,,Larache,-6.13037109375,35.22767235493586
#7e7e7e,medium,,Fez,-5.009765625,34.03445260967645
#7e7e7e,medium,,Melilla,-2.9443359375,35.31736632923788
#7e7e7e,medium,,Oujda,-1.9116210937499998,34.70549341022544
#7e7e7e,medium,,Taza,-3.9990234375,34.23451236236987
#7e7e7e,medium,,Taourirt,-2.900390625,34.415973384481866
#7e7e7e,medium,,Safi,-9.25048828125,32.287132632616384
#7e7e7e,medium,,Khenifra,-5.6689453125,32.91648534731439
#7e7e7e,medium,,Khouribga,-6.8994140625,32.89803818160521
#7e7e7e,medium,,Marrakesh,-7.998046875,31.63467554954133
#7e7e7e,medium,,Essaouira,-9.755859375,31.541089879585808
#7e7e7e,medium,,Tinghir,-5.515136718749999,31.522361470421437
#7e7e7e,medium,,Agadir,-9.60205078125,30.4297295750316
#7e7e7e,medium,,Zagora,-5.82275390625,30.334953881988564
#7e7e7e,medium,,Tiznit,-9.73388671875,29.707139348134145
#7e7e7e,medium,,Guelmim,-10.04150390625,28.97931203672246
#7e7e7e,medium,,Tan Tan,-11.1181640625,28.43971381702788
#7e7e7e,medium,,Tarfaya,-12.919921874999998,27.955591004642553
#7e7e7e,medium,,Errachidia,-4.427490234375,31.93351676190369
#7e7e7e,medium,,Bouarfa,-1.9555664062500002,32.537551746769
#7e7e7e,medium,,Arfoud,-4.229736328124999,31.438037173124464
#7e7e7e,medium,,Tata,-7.965087890625,29.76437737516313
#7e7e7e,medium,,Midelt,-4.735107421875,32.685619853722
#7e7e7e,medium,,Taroudant,-8.876953125,30.477082932837682
#7e7e7e,medium,,Ifrane,-5.09765625,33.53223722395908
#7e7e7e,medium,,Agdz,-6.43798828125,30.685163937659564
#7e7e7e,medium,,Jerada,-2.1533203125,34.32529192442733
#7e7e7e,medium,,Ouazzane,-5.570068359375,34.8047829195724
#7e7e7e,medium,,Taounate,-4.625244140625,34.542762387234845
#7e7e7e,medium,,Driouch,-3.3837890625,34.985003130171066
#7e7e7e,medium,,Youssoufia,-8.525390625,32.25926542645933
#7e7e7e,medium,,Tangier,-5.80078125,35.79108281624994
#7e7e7e,medium,,Tetouan,-5.372314453125,35.576916524038616